rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
74,frame_0094.jpg,37.6,0.5306,0.7241,0.4286,0.2,4,3,False,False
75,frame_0127.jpg,50.8,0.5299,0.5683,0.2857,0.8,6,2,False,False
76,frame_0332.jpg,132.8,0.5292,0.7853,0.4286,0.04,6,3,False,False
77,frame_0016.jpg,6.4,0.5284,0.3996,0.4286,1.0,7,3,False,False
78,frame_0215.jpg,86.0,0.5219,0.5946,0.4286,0.48,7,3,False,False
79,frame_0067.jpg,26.8,0.521,0.4706,0.2857,1.0,7,2,False,False
80,frame_0079.jpg,31.6,0.521,0.4648,0.4286,0.8,6,3,False,False
81,frame_0222.jpg,88.8,0.5208,0.7044,0.4286,0.2,4,3,False,False
82,frame_0078.jpg,31.2,0.5147,0.6077,0.1429,0.84,8,1,False,False
83,frame_0031.jpg,12.4,0.5133,0.4552,0.2857,1.0,6,2,False,False
84,frame_0021.jpg,8.4,0.5112,0.3652,0.4286,1.0,5,3,False,False
85,frame_0012.jpg,4.8,0.5106,0.4497,0.2857,1.0,4,2,False,False
86,frame_0106.jpg,42.4,0.5087,0.6585,0.5714,0.04,6,4,False,False
87,frame_0133.jpg,53.2,0.5071,0.4427,0.2857,1.0,7,2,False,False
88,frame_0193.jpg,77.2,0.5067,0.5746,0.5714,0.24,6,4,False,False
89,frame_0290.jpg,116.0,0.5047,0.518,0.2857,0.8,7,2,False,False
90,frame_0294.jpg,117.6,0.5036,0.6334,0.1429,0.72,5,1,False,False
91,frame_0330.jpg,132.0,0.5032,0.6476,0.5714,0.04,8,4,False,False
92,frame_0071.jpg,28.4,0.5026,0.5195,0.1429,1.0,5,1,False,False
93,frame_0027.jpg,10.8,0.5002,0.5147,0.1429,1.0,3,1,False,False
94,frame_0117.jpg,46.8,0.499,0.6665,0.2857,0.4,3,2,False,False
95,frame_0376.jpg,150.4,0.4978,0.6744,0.4286,0.16,8,3,False,False
96,frame_0308.jpg,123.2,0.4973,0.5878,0.5714,0.16,5,4,False,False
97,frame_0020.jpg,8.0,0.4972,0.3372,0.4286,1.0,5,3,False,False
98,frame_0123.jpg,49.2,0.4949,0.6481,0.1429,0.64,5,1,False,False
99,frame_0279.jpg,111.6,0.4941,0.6728,0.2857,0.36,5,2,False,False
100,frame_0068.jpg,27.2,0.4917,0.412,0.2857,1.0,6,2,False,False
101,frame_0201.jpg,80.4,0.4915,0.5875,0.2857,0.56,3,2,False,False
102,frame_0007.jpg,2.8,0.4894,0.3217,0.4286,1.0,4,3,False,False
103,frame_0075.jpg,30.0,0.4881,0.4207,0.2857,0.96,5,2,False,False
104,frame_0299.jpg,119.6,0.4853,0.5054,0.4286,0.52,7,3,False,False
105,frame_0397.jpg,158.8,0.484,0.5452,0.5714,0.2,6,4,False,False
106,frame_0295.jpg,118.0,0.4829,0.5224,0.2857,0.68,7,2,False,False
107,frame_0395.jpg,158.0,0.4806,0.5703,0.5714,0.12,6,4,False,False
108,frame_0275.jpg,110.0,0.4797,0.7937,0.1429,0.2,7,1,False,False
109,frame_0289.jpg,115.6,0.4791,0.5685,0.1429,0.76,4,1,False,False
110,frame_0300.jpg,120.0,0.4773,0.5054,0.4286,0.48,6,3,False,False
111,frame_0398.jpg,159.2,0.4765,0.6855,0.2857,0.24,6,2,False,False
112,frame_0391.jpg,156.4,0.4723,0.5,0.7143,0.04,7,5,False,False
113,frame_0292.jpg,116.8,0.4706,0.5354,0.1429,0.8,5,1,False,False
114,frame_0103.jpg,41.2,0.4701,0.6191,0.4286,0.16,3,3,False,False
115,frame_0209.jpg,83.6,0.4684,0.4774,0.2857,0.72,4,2,False,False
116,frame_0320.jpg,128.0,0.4668,0.4947,0.5714,0.24,7,4,False,False
117,frame_0171.jpg,68.4,0.4643,0.5811,0.2857,0.44,4,2,False,False
118,frame_0231.jpg,92.4,0.4637,0.5206,0.5714,0.16,8,4,False,False
119,frame_0185.jpg,74.0,0.4614,0.548,0.5714,0.08,7,4,False,False
120,frame_0125.jpg,50.0,0.4613,0.5489,0.1429,0.72,4,1,False,False
121,frame_0112.jpg,44.8,0.4604,0.755,0.1429,0.2,3,1,False,False
122,frame_0084.jpg,33.6,0.4596,0.5934,0.1429,0.6,2,1,False,False
123,frame_0128.jpg,51.2,0.4594,0.5827,0.0,0.84,7,0,False,False
124,frame_0080.jpg,32.0,0.4573,0.3534,0.4286,0.76,5,3,False,False
125,frame_0081.jpg,32.4,0.4571,0.4548,0.2857,0.72,5,2,False,False
126,frame_0220.jpg,88.0,0.4568,0.6302,0.2857,0.28,2,2,False,False
127,frame_0208.jpg,83.2,0.4552,0.5207,0.1429,0.76,4,1,False,False
128,frame_0006.jpg,2.4,0.4538,0.3362,0.2857,1.0,4,2,False,False
129,frame_0087.jpg,34.8,0.4528,0.4565,0.4286,0.48,4,3,False,False
130,frame_0287.jpg,114.8,0.4506,0.4577,0.2857,0.68,5,2,False,False
131,frame_0207.jpg,82.8,0.4502,0.4946,0.1429,0.8,2,1,False,False
132,frame_0011.jpg,4.4,0.4498,0.4139,0.1429,1.0,3,1,False,False
133,frame_0317.jpg,126.8,0.4455,0.6395,0.2857,0.2,6,2,False,False
